title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
Аптекарский огород,ботанический сад,Парки; Ботанический сад,"проспект Мира, 26 ст1",2 этаж,129090.0,Мещанский,Москва,Москва,4.7,1167.0,55.7779,37.6336,branch
Воробьёвы горы,парк культуры и отдыха,Парки,,,119334.0,Раменки,Москва,Москва,4.8,49.0,55.711583,37.543455,branch
Воробьёвы горы,природный заказник,Парки,,,119334.0,Раменки,Москва,Москва,,,55.709039,37.550138,branch
Горка,парк,Парки,,,101000.0,Басманный,Москва,Москва,4.2,1.0,55.756114,37.636096,branch
Делегатский парк,,Парки,,,127473.0,Тверской,Москва,Москва,4.8,79.0,55.776031,37.610792,branch
Детский парк им. Н.Н. Прямикова,,Парки,,,109147.0,Таганский,Москва,Москва,4.7,68.0,55.74134,37.662905,branch
Екатерининский,парк культуры и отдыха,Парки,,,129110.0,Мещанский,Москва,Москва,4.9,348.0,55.782451,37.619633,branch
Зарядье,парк,Парки,,,109012.0,Тверской,Москва,Москва,4.8,2418.0,55.751316,37.629172,branch
Красная Пресня,парк культуры и отдыха,Парки,,,123100.0,Пресненский,Москва,Москва,4.7,246.0,55.754614,37.55347,branch
Красногвардейские пруды,парк,Парки,,,123100.0,Пресненский,Москва,Москва,4.9,87.0,55.762668,37.545477,branch
Лефортовский парк,,Парки,,,111250.0,Лефортово,Москва,Москва,4.8,151.0,55.765181,37.690675,branch
Музеон,парк искусств,Парки,,,119049.0,Якиманка,Москва,Москва,4.9,481.0,55.736473,37.608145,branch
Нескучный сад,парк,Парки,,,119049.0,Якиманка,Москва,Москва,4.8,330.0,55.717043,37.58649,branch
Skypoint,парк,Парки,,,141408.0,Молжаниновский,Москва,Москва,,,55.949389,37.418194,branch
Ангарские пруды,парк,Парки,,,127247.0,Дмитровский,Москва,Москва,4.9,124.0,55.878596,37.529353,branch
Берёзовая роща,парк,Парки,,,125252.0,Хорошёвский,Москва,Москва,4.8,94.0,55.786842,37.515935,branch
Бригантина,детский парк,Парки; Спортивный прокат; Аттракционы,,,125239.0,Коптево,Москва,Москва,4.6,16.0,55.831947,37.524399,branch
Бригантина,парк,Парки; Спортивные секции,,,125239.0,Коптево,Москва,Москва,4.8,6.0,55.832644,37.521067,branch
Гончаровский парк,,Парки,,,127254.0,Бутырский,Москва,Москва,4.8,61.0,55.813915,37.588417,branch
Долина реки Сходни в Куркино,ландшафтный заказник,Парки,,,125466.0,Куркино,Москва,Москва,4.7,13.0,55.908327,37.379932,branch
Дубки,парк,Парки,,,127434.0,Тимирязевский,Москва,Москва,4.8,104.0,55.820632,37.566013,branch
Захарковский залив,,Парки,"улица Свободы, вл50/56",,125364.0,Южное Тушино,Москва,Москва,,,55.849406,37.453728,branch
Исторический парк РГАУ-МСХА им. К.А. Тимирязева,,Парки,,,127434.0,Тимирязевский,Москва,Москва,4.1,18.0,55.831493,37.54324,branch
Лианозовский,парк культуры и отдыха,Парки,,,127572.0,Лианозово,Москва,Москва,4.8,67.0,55.900408,37.57102,branch
Парк Дружбы,,Парки,,,125565.0,Левобережный,Москва,Москва,4.9,219.0,55.852773,37.479729,branch
Парк им. Рихарда Зорге,,Парки,,,125252.0,Хорошёвский,Москва,Москва,,,55.782928,37.510613,branch
Парк имени Воровского,,Парки,,,125130.0,Войковский,Москва,Москва,4.6,34.0,55.820151,37.502348,branch
Парк Северного речного вокзала,,Парки,,,125195.0,Левобережный,Москва,Москва,4.9,256.0,55.850933,37.469567,branch
Петровский парк,,Парки,,,125167.0,Аэропорт,Москва,Москва,4.7,100.0,55.793866,37.557141,branch
Подрезково,парк,Парки,,,141446.0,,Химки,Московская область,4.6,9.0,55.946159,37.328114,branch
Покровский берег,зона отдыха,Парки; Пляжи,,,,Покровское-Стрешнево,Москва,Москва,4.6,60.0,55.832917,37.472323,branch
Покровское-Стрешнево,природно-исторический парк,Парки,"5-й Войковский проезд, 2 ст2",,125171.0,Покровское-Стрешнево,Москва,Москва,4.8,430.0,55.8189,37.48502,branch
Алтуфьево,парк-усадьба,Парки,,,127572.0,Лианозово,Москва,Москва,4.9,23.0,55.907729,37.580921,branch
Бабушкинский,парк культуры и отдыха,Парки; Аттракционы; Аренда концертных площадок,,,129327.0,Лосиноостровский,Москва,Москва,4.8,64.0,55.867714,37.683254,branch
Бибирево,этнографическая деревня,Парки,,,127543.0,Бибирево,Москва,Москва,5.0,14.0,55.895626,37.623046,branch
ВДНХ,,Парки; Аттракционы; Клубы настольного тенниса; Интересные здания,,,129223.0,Останкинский,Москва,Москва,4.9,2731.0,55.826244,37.63762,branch
Главный ботанический сад им. Н.В. Цицина РАН,лабораторный корпус,Парки; Ботанический сад,"Ботаническая улица, 4",,127276.0,Останкинский,Москва,Москва,4.8,386.0,55.844262,37.589954,branch
Останкино,парк,Парки,,,129515.0,Останкинский,Москва,Москва,5.0,1.0,55.828404,37.609123,branch
Парк Яуза,,Парки,,,129226.0,Ростокино,Москва,Москва,1.0,1.0,55.835828,37.651801,branch
Парк Яуза,,Парки,,,129226.0,Ростокино,Москва,Москва,,,55.84179,37.641014,branch
Парк Яуза,,Парки,,,,Южное Медведково,Москва,Москва,5.0,1.0,55.863473,37.636212,branch
Proкачу,парк аттракционов,Парки,,,111398.0,Перово,Москва,Москва,4.8,38.0,55.741989,37.774559,branch
Детский Черкизовский парк,,Парки,,,107553.0,Преображенское,Москва,Москва,4.8,37.0,55.80256,37.736113,branch
Измайловский,парк культуры и отдыха,Парки,"аллея Большого Круга, 7",,105187.0,Измайлово,Москва,Москва,4.9,448.0,55.768867,37.750778,branch
Кусковский лесопарк,,Парки; Заповедники,,,,Вешняки,Москва,Москва,4.8,288.0,55.733708,37.801064,branch
Малый розарий,парк культуры и отдыха,Парки; Сады / цветники,,,107014.0,Сокольники,Москва,Москва,4.8,4.0,55.797185,37.676685,branch
Наташинский парк,парк культуры и отдыха,Парки,,,140013.0,,Люберцы,Московская область,4.5,103.0,55.695781,37.884918,branch
Перовский,парк,Парки,,,111398.0,Перово,Москва,Москва,,,55.740433,37.775459,branch
Радуга,парк у прудов,Парки,,,111402.0,Вешняки,Москва,Москва,4.8,78.0,55.731535,37.821109,branch
Ракета,сквер,Парки,,,109428.0,Рязанский,Москва,Москва,,,55.726612,37.772909,branch
Братеевская набережная,парк,Парки,,,,Братеево,Москва,Москва,4.8,35.0,55.642946,37.762578,branch
Братеевская пойма,парк,Парки,,,,Братеево,Москва,Москва,4.9,53.0,55.637161,37.779091,branch
Братеевский каскадный парк,,Парки,,,,Москворечье-Сабурово,Москва,Москва,4.8,51.0,55.638061,37.727103,branch
Коломенское,московский объединенный музей-заповедник,Парки,,,115487.0,Нагатинский Затон,Москва,Москва,4.9,721.0,55.667013,37.671035,branch
Кузьминки-Люблино,государственный музей-заповедник,Парки,,,,Кузьминки,Москва,Москва,4.9,329.0,55.685668,37.798538,branch
Кузьминский лесопарк (восточная часть),,Парки,,,140055.0,,,Московская область,4.7,46.0,55.672589,37.846951,branch
Курьяновский парк,,Парки,,,109235.0,Печатники,Москва,Москва,,,55.656341,37.697155,branch
Люблино,Московский объединенный музей-заповедник,Парки; Музеи,"Летняя улица, 1 к1",,109387.0,Люблино,Москва,Москва,4.9,61.0,55.688534,37.743356,branch
Аршиновский,парк культуры и отдыха,Парки,,,115516.0,Царицыно,Москва,Москва,4.7,31.0,55.619434,37.650984,branch
Бекет,парк,Парки,,,117152.0,Донской,Москва,Москва,4.6,32.0,55.699087,37.611346,branch
Бирюлёвский дендропарк,,Парки; Ботанический сад,,,,Бирюлёво Восточное,Москва,Москва,4.8,83.0,55.596834,37.679159,branch
Борисовские Пруды,парк,Парки,,,,Москворечье-Сабурово,Москва,Москва,4.8,217.0,55.631557,37.697878,branch
Государственный музей-заповедник Царицыно,,Парки,"Дольская улица, 1 ст6а",,115569.0,Орехово-Борисово Северное,Москва,Москва,4.9,857.0,55.615626,37.683978,branch
Лукоморье,детский парк,Парки,,,142715.0,,,Московская область,4.6,120.0,55.584231,37.737001,branch
Парк 850-летия Москвы,,Парки,,,,Марьино,Москва,Москва,4.8,150.0,55.644563,37.75647,branch
Парк им. Ю.М. Лужкова,,Парки,,,115487.0,Нагатино-Садовники,Москва,Москва,4.6,61.0,55.661488,37.652607,branch
Барыши,городской парк,Парки,,,108831.0,Щербинка,Щербинка,Москва,4.2,1.0,55.497762,37.540378,branch
Парк 50-летия Октября,парк культуры и отдыха,Парки,,,119454.0,Проспект Вернадского,Москва,Москва,4.8,200.0,55.684386,37.502542,branch
Липовая роща,парк,Парки,,,,,,Московская область,4.8,10.0,55.795243,37.369907,branch
Мещерский парк,,Парки,,,,,,Московская область,4.9,331.0,55.669101,37.383833,branch
Парк Олимпийской деревни,г. Москва,Парки,,,,Проспект Вернадского,Москва,Москва,4.8,102.0,55.679557,37.476111,branch
Парк Победы,,Парки,,,121293.0,Дорогомилово,Москва,Москва,4.9,814.0,55.731305,37.507739,branch
Сказка,парк развлечений,Парки; Аттракционы,"Крылатская улица, 18",,121609.0,Крылатское,Москва,Москва,4.5,468.0,55.772121,37.435252,branch
Primavera,экопарк,Парки,,,125424.0,Покровское-Стрешнево,Москва,Москва,5.0,8.0,55.811887,37.424059,branch
Братцевский парк,,Парки,,,143441.0,,,Московская область,4.7,8.0,55.856743,37.389409,branch
Ветеран,парк,Парки,,,,Хорошёво-Мнёвники,Москва,Москва,4.9,11.0,55.789116,37.411821,branch
Долина реки Химки,парк,Парки,,,125362.0,Покровское-Стрешнево,Москва,Москва,4.5,4.0,55.821449,37.452228,branch
Митино,ландшафтный парк,Парки,,,125222.0,Митино,Москва,Москва,4.8,164.0,55.83526,37.366978,branch
Парк набережная реки Синичка,,Парки,,,,,,Московская область,5.0,2.0,55.84444,37.326113,branch
